Programa;Variable_Adminicion;Variable_profesorado;Variable_formacion;Variable_infraestructura;Variable_economia;Variable_Logistica;Profesionalidad;Personal_directivo;Valoracion_integral
Hidraulica, Mencion Disenos de Obras Hidraulicas;8;5;6;7;7;6;7;8;7
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;8
Pedagogia, Mencion Bachillerato Tecnico;9;6;6;6;6;8;8;8;8
Pedagogia, Mencion Bachillerato Tecnico;9;6;6;6;6;8;8;8;8
Optometria, Mencion Contactologia y Terapia Visual;9;9;9;9;9;3;9;9;8
Agronomia, Mencion Mecanizacion Agricola;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Produccion Agricola Sostenible;9;9;9;9;8,5;9;9;8;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Matematica;9;9;9;9;9;9;9;9;9
Agroindustria;8;7;5;2;5,5;5;6;9;4
Matematica;8;7;7;9;7,5;9;9;9;9
Matematica;9;9;8;9;9;9;9;9;9
Matematica;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Mecanizacion Agricola;1;1;1;1;2;1;1;1;1
Medicina Veterinaria, Mencion Salud y Reproduccion en Especies Productivas;9;7;7;7;8;9;6;9;7
Medicina Veterinaria, Mencion Salud y Reproduccion en Especies Productivas;9;9;9;9;9;9;9;9;9
Medicina Veterinaria, Mencion Salud y Reproduccion en Especies Productivas;9;9;9;9;9;9;9;8;8
Medicina Veterinaria, Mencion Salud y Reproduccion en Especies Productivas;8;8;8;9;8,5;8;9;9;8
Hidraulica, Mencion Disenos de Obras Hidraulicas;9;8;9;7;8;9;9;9;9
Agronomia, Mencion Agricultura Sostenible;8;7;7;7;7;7;7;7;8
Quimica, Mencion Quimica Ambiental;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;9;9;9;8;8;8;9;9;8
Hidraulica, Mencion Disenos de Obras Hidraulicas;9;8;9;8;7;8;8;9;9
Hidraulica, Mencion Gestion de Recursos Hidricos;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Procesos Quimicos;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;8;9;9;8;8;8;9;9;9
Ingenieria Agricola;9;7;7;8;9;7;7;7;7
Ingenieria Quimica, Mencion Alimentos;7;8;7;5;5;7;7;7;7
Medicina Veterinaria, Mencion Salud y Reproduccion en Especies Productivas;9;9;9;8;9;9;9;9;9
Educacion, Mencion Ensenanza Basica;9;9;9;8;8;8;8;9;8
Agronomia, Mencion Mecanizacion Agricola;9;8;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Alimentos;9;9;9;9;9;9;9;9;9
